UUID,Name,Region Country,Default Country,Zoom,Lat,Lon,Projection,LatMin,LatMax,LonMin,LonMax,Marker
,Default,,,2,50,7,900913,-90,90,-180,180,marker_red
SITE_DEFAULT,WGS84,,,2,50,7,4326,-90,90,180,180,marker_red
